onet_soc_code,employment_us,median_wage_usd,wage_p25_usd,wage_p75_usd
15-1242.00,73180,104620,76100,132850
15-1243.00,64770,135980,107900,169480
15-1244.00,318570,96800,75860,123390
15-1251.00,109870,98670,71860,128960
15-1252.00,1654440,133080,103050,169000
15-1253.00,199800,102610,79520,131870
15-1254.00,78860,90930,63140,124300
15-1255.00,111400,98090,64990,141860
15-1299.00,439380,108970,76360,147530
15-2011.00,28340,125770,90970,164860
15-2021.00,2220,121680,85720,153340
15-2031.00,107760,91290,66910,124120
15-2041.00,29800,103300,79210,137610
15-2051.00,233440,112590,82630,155810
15-2099.00,4660,71490,52440,101920
17-1011.00,111140,96690,76110,123300
17-1012.00,19580,79660,62650,101580
17-1021.00,12790,78380,62860,99650
17-1022.00,53080,72740,53590,94550
17-2011.00,68440,134830,104740,174480
17-2021.00,1680,84630,49930,103940
17-2031.00,21860,106950,86630,133570
17-2041.00,20330,121860,96040,152290
17-2051.00,355410,99590,78790,128290
17-2061.00,75710,155020,115500,185380
17-2071.00,188790,111910,87590,141630
17-2072.00,93940,127590,98920,164000
17-2081.00,37950,104170,80510,130830
17-2111.00,23220,109660,85400,136150
17-2112.00,350230,101140,81910,127480
17-2121.00,8440,105670,88480,133780
17-2131.00,22770,108310,85820,138370
17-2141.00,286760,102320,81800,130290
17-2151.00,6770,101020,81040,129860
17-2161.00,14740,127520,103010,157600
17-2171.00,18970,141280,107330,191100
17-2199.00,150750,117750,85750,152670
17-3011.00,109550,64280,52880,79510
17-3012.00,20020,73720,58800,91780
17-3013.00,39900,68510,56470,85580
17-3019.00,16010,62010,50970,77750
17-3021.00,9060,79830,64570,102220
17-3022.00,62130,64200,51730,79550
17-3023.00,92710,77180,60610,94810
17-3024.00,14680,70760,58570,87320
17-3025.00,12500,58890,48250,75290
17-3026.00,73410,64790,53230,79040
17-3027.00,37450,68730,57330,82980
17-3028.00,15320,65040,52250,83600
17-3029.00,64410,77390,59700,97760
17-3031.00,56720,51940,44180,65240
19-1011.00,2470,79120,59610,128450
19-1012.00,14370,85310,65240,111700
19-1013.00,16600,71410,57950,98110
19-1021.00,34520,103650,78730,134460
19-1022.00,19760,87330,63920,120750
19-1023.00,16920,72860,58360,90590
19-1029.00,59710,93330,67950,121350
19-1031.00,25590,67950,53190,87980
19-1032.00,9650,70660,58810,85450
19-1041.00,11460,83980,68040,106040
19-1042.00,156300,100590,77260,133870
19-1099.00,7320,87800,66340,123720
19-2011.00,1560,132170,94990,177690
19-2012.00,21340,166290,117450,210260
19-2021.00,8780,97450,69440,128940
19-2031.00,83250,84150,63930,120210
19-2032.00,8330,104160,79980,134140
19-2041.00,84930,80060,62090,103730
19-2042.00,22510,99240,72440,134350
19-2043.00,5720,92060,73330,114940
19-2099.00,22580,117960,82450,154900
19-3011.00,15880,115440,82260,166030
19-3022.00,7720,63380,46110,85370
19-3032.00,1050,109840,80790,198170
19-3033.00,72190,95830,67470,131510
19-3034.00,63830,86930,73240,108210
19-3039.00,17790,117580,73820,145200
19-3041.00,2950,101690,78150,134780
19-3051.00,43040,83720,66210,104450
19-3091.00,8070,64910,51240,83080
19-3092.00,1380,97200,75590,117190
19-3093.00,3140,74050,55190,96330
19-3094.00,5950,139380,103030,172050
19-3099.00,36970,100340,79210,127880
19-4012.00,14340,46790,38480,59370
19-4013.00,14200,49430,43990,60940
19-4021.00,76190,52000,45380,66410
19-4031.00,55640,57790,46680,72940
19-4042.00,39390,49490,38050,64170
19-4043.00,9710,48390,39200,64470
19-4044.00,2940,58570,47450,79790
19-4051.00,5990,104240,83330,113710
19-4061.00,32940,58040,46190,73060
19-4071.00,31080,54310,42560,66020
19-4092.00,19450,67440,53310,88710
19-4099.00,71400,60130,46270,77990
19-5011.00,128430,83910,64410,105390
19-5012.00,31450,58440,49510,74810
21-1012.00,342350,65140,51690,83490
21-1013.00,65870,63780,48600,85020
21-1015.00,88930,46110,38700,59040
21-1018.00,440380,59190,47170,76230
21-1019.00,33340,49830,42760,66510
21-1021.00,382960,58570,47480,74060
21-1022.00,185940,68090,55360,83410
21-1023.00,125910,60060,46550,78980
21-1029.00,64940,69480,52010,95390
21-1091.00,65150,63000,49880,84460
21-1092.00,86820,64520,52580,84030
21-1093.00,424220,45120,37770,53040
21-1094.00,60730,51030,44370,63150
21-1099.00,110390,54940,45420,67590
21-2011.00,58080,60820,47220,76340
21-2021.00,21460,54840,42210,74990
21-2099.00,12170,45120,34700,60310
23-1011.00,747750,151160,99760,215420
23-1012.00,13220,60400,49840,78060
23-1021.00,16230,115230,76920,161290
23-1022.00,7860,67710,60030,101010
23-1023.00,25580,156210,86060,189890
23-2011.00,367220,61010,48190,78280
23-2093.00,48170,54980,45020,70290
23-2099.00,47380,68760,50960,103460
25-1011.00,81780,97270,63040,140360
25-1021.00,36240,96690,65200,132200
25-1022.00,48820,79350,60880,106270
25-1031.00,9120,101480,78090,129310
25-1032.00,39910,106120,80060,136400
25-1041.00,8700,86350,63980,123290
25-1042.00,53250,83460,64010,125310
25-1043.00,1310,100830,81380,125080
25-1051.00,11480,101390,66620,135500
25-1052.00,20390,86220,64980,125920
25-1053.00,7130,87710,64360,124680
25-1054.00,13590,97360,66730,130150
25-1061.00,5260,95770,67410,122870
25-1062.00,11430,84290,64320,107810
25-1063.00,12420,119980,80850,166600
25-1064.00,3290,86730,66400,120220
25-1065.00,17170,94680,65330,127480
25-1066.00,41610,80330,62290,106640
25-1067.00,12380,82540,64130,113000
25-1069.00,17540,75040,59550,105390
25-1071.00,229720,105620,74400,176090
25-1072.00,74250,79940,62210,102020
25-1081.00,59090,72090,50630,96260
25-1082.00,4100,78630,62130,97020
25-1111.00,13560,71470,56100,99730
25-1112.00,22800,126650,84540,173580
25-1113.00,13350,76210,57080,98570
25-1121.00,97890,80190,60730,121600
25-1122.00,29260,77800,60060,103230
25-1123.00,59590,78270,59780,103730
25-1124.00,21170,77010,59790,101680
25-1125.00,19860,81500,62370,106770
25-1126.00,20840,78050,60980,101680
25-1192.00,2630,77280,56870,99530
25-1193.00,12680,75890,57290,101420
25-1194.00,111150,61490,48030,80070
25-1199.00,151530,78490,55500,122510
25-2011.00,445080,37120,31250,46550
25-2012.00,114410,61430,50290,77720
25-2021.00,1393310,62340,50680,79410
25-2022.00,620370,62970,53540,79380
25-2023.00,14200,63620,55920,78270
25-2031.00,1072540,64580,57800,83010
25-2032.00,104450,63910,58840,78650
25-2051.00,28200,62190,49370,81330
25-2052.00,231570,63000,57050,79320
25-2057.00,95330,64880,58590,81940
25-2058.00,162780,69590,58180,87140
25-2059.00,39350,67430,53470,87890
25-3011.00,36260,59950,47950,76580
25-3021.00,308520,45590,35410,62180
25-3031.00,481300,38470,31310,51930
25-3041.00,174660,40090,33410,55380
25-3099.00,125010,64690,46700,93180
25-4011.00,7050,61570,47890,79850
25-4012.00,12280,61770,47270,81350
25-4013.00,13070,47460,37460,62990
25-4022.00,131830,64320,50920,80640
25-4031.00,73770,39970,33510,49740
25-9021.00,10260,58120,46010,69110
25-9031.00,210850,74720,59120,94780
25-9044.00,155010,44930,32640,60410
25-9045.00,1375300,35240,29120,40400
25-9099.00,114640,48400,33280,68800
27-1011.00,50370,111040,80130,160460
27-1012.00,4370,38480,31350,52070
27-1013.00,10000,60560,39740,89630
27-1014.00,21280,99800,73030,135600
27-1019.00,7370,72760,44760,112420
27-1021.00,30250,79450,62040,103170
27-1022.00,20910,80690,53730,107990
27-1023.00,40160,36120,30200,43420
27-1024.00,214260,61300,47200,79000
27-1025.00,69580,63490,49770,80830
27-1026.00,192480,37350,33580,44750
27-1027.00,10850,66280,48920,100020
27-1029.00,9680,66220,46850,95330
27-2011.00,38800,*,*,*
27-2012.00,145270,83480,59810,131160
27-2021.00,14370,62360,36750,130770
27-2022.00,250940,45920,33960,61930
27-2023.00,15080,38820,30920,53560
27-2031.00,9060,*,*,*
27-2032.00,3430,55600,39600,71190
27-2041.00,12330,63670,47330,96590
27-2042.00,38350,*,*,*
27-2091.00,8170,*,*,*
27-2099.00,15040,*,*,*
27-3011.00,23880,45680,33280,72080
27-3023.00,41550,60280,40420,97460
27-3031.00,280590,69780,51970,95940
27-3041.00,95480,75260,50210,101210
27-3042.00,55530,91670,68640,102740
27-3043.00,47800,72270,52890,98320
27-3091.00,53360,59440,45020,80020
27-3092.00,12630,67310,50210,92710
27-3099.00,23590,71770,52690,99520
27-4011.00,70080,54830,43860,73590
27-4012.00,21080,53920,36900,80390
27-4014.00,13050,66430,47680,99950
27-4015.00,10130,60560,47100,83340
27-4021.00,51230,42520,34790,62370
27-4031.00,24460,68810,48060,102400
27-4032.00,28860,70980,50230,101570
27-4099.00,13020,67190,48490,102650
29-1011.00,37630,79000,59320,104000
29-1021.00,113490,172790,126090,220380
29-1022.00,5330,#,236780,#
29-1023.00,5150,#,137320,#
29-1024.00,760,#,232000,#
29-1029.00,5900,225770,172780,#
29-1031.00,76570,73850,61260,85200
29-1041.00,41890,134830,103310,163710
29-1051.00,328870,137480,127250,158620
29-1071.00,155540,133260,113770,160160
29-1081.00,9520,152800,91130,217960
29-1122.00,152280,98340,80490,110460
29-1123.00,248630,101020,83470,117190
29-1124.00,18700,101990,86520,120360
29-1125.00,15060,60280,48230,77680
29-1126.00,136420,80450,68410,95530
29-1127.00,178790,95410,75310,112510
29-1128.00,8110,58160,48650,65430
29-1129.00,19320,65010,49510,85010
29-1131.00,80630,125510,98420,161610
29-1141.00,3282010,93600,78610,107960
29-1151.00,50350,223210,187110,#
29-1161.00,8280,128790,104260,146520
29-1171.00,307390,129210,109940,149570
29-1181.00,14730,92120,76440,109330
29-1211.00,41890,#,186680,#
29-1212.00,18020,#,230100,#
29-1213.00,10080,#,172510,#
29-1214.00,33680,#,181070,#
29-1215.00,107950,238380,167580,#
29-1216.00,66640,236350,135240,#
29-1217.00,7700,#,140970,#
29-1218.00,19900,#,188130,#
29-1221.00,42960,210130,159510,#
29-1222.00,11800,#,165940,#
29-1223.00,24800,#,141290,#
29-1224.00,26290,#,204330,#
29-1229.00,315360,#,95080,#
29-1241.00,12110,#,181490,#
29-1242.00,14160,#,209730,#
29-1243.00,1050,#,#,#
29-1249.00,24080,#,139070,#
29-1291.00,8440,78140,54090,107120
29-1292.00,219070,94260,80060,102920
29-1299.00,30870,113730,83350,161350
29-2010.00,343040,61890,46580,80010
29-2031.00,61180,67260,46470,91430
29-2032.00,86460,89340,78080,103630
29-2033.00,16960,97020,83020,108190
29-2034.00,223460,77660,62910,93610
29-2035.00,41530,88180,78150,102440
29-2036.00,3970,138110,125600,157840
29-2042.00,177980,41340,36730,48160
29-2043.00,99530,58410,47920,68420
29-2051.00,29950,37040,32460,44290
29-2052.00,487920,43460,36920,48580
29-2053.00,136300,42590,37170,48910
29-2055.00,113890,62830,51740,77140
29-2056.00,131320,45980,37390,50960
29-2057.00,76520,44080,37100,49730
29-2061.00,632430,62340,55220,73160
29-2072.00,187910,50250,41600,64070
29-2081.00,79690,46560,37900,59680
29-2091.00,9930,78310,59990,98880
29-2092.00,10580,61560,47150,78110
29-2099.00,174060,48790,40740,62280
29-9021.00,37620,67310,48400,92410
29-9091.00,28950,60250,51590,70880
29-9092.00,3510,98910,87060,113220
29-9093.00,22860,60290,49140,80860
29-9099.00,36970,64030,45250,91000
31-1120.00,3988140,34900,30370,37980
31-1131.00,1388430,39530,36260,46070
31-1132.00,53020,37700,34850,43160
31-1133.00,34900,41590,35930,48770
31-2011.00,47910,68340,59950,77340
31-2012.00,5000,37370,34840,44190
31-2021.00,108010,65510,58240,77270
31-2022.00,44010,34520,29710,38240
31-9011.00,96040,57950,44870,77170
31-9091.00,375430,47300,39520,56910
31-9092.00,793460,44200,37610,48160
31-9093.00,72760,46490,38910,56160
31-9094.00,43070,37550,31200,45680
31-9095.00,41100,37000,34450,42570
31-9096.00,114190,37320,34320,44550
31-9097.00,138880,43660,37540,48170
31-9099.00,103650,46050,37570,57650
33-1011.00,53390,76310,56890,102190
33-1012.00,153130,105980,80940,133520
33-1021.00,93680,92430,72240,115990
33-1091.00,70310,58610,46070,74700
33-1099.00,20460,74960,51860,90600
33-2011.00,332240,59530,44180,77410
33-2021.00,14050,78060,60700,105390
33-2022.00,2780,52380,41000,77780
33-3011.00,16910,57050,43420,77880
33-3012.00,365380,57970,47520,75330
33-3021.00,110790,93580,68390,120080
33-3031.00,6420,68180,53260,82100
33-3041.00,7770,47150,39930,61210
33-3051.00,666990,76290,58980,97190
33-3052.00,3000,82320,65920,114040
33-9011.00,11790,45830,38160,57110
33-9021.00,38700,52370,41940,75310
33-9031.00,10000,43900,37410,50610
33-9032.00,1241770,38370,35100,46660
33-9091.00,90180,37700,34280,46920
33-9092.00,143590,33720,28840,37750
33-9093.00,46340,63360,52210,69990
33-9094.00,72140,34980,31200,38840
33-9099.00,83110,41600,35540,54310
35-1011.00,182320,60990,47710,76790
35-1012.00,1187460,42010,35400,50920
35-2011.00,668230,30160,26540,35710
35-2012.00,448260,36450,30530,42860
35-2013.00,900,44530,42800,47150
35-2014.00,1452130,36830,31310,43610
35-2015.00,150420,35620,30160,39990
35-2019.00,23590,36210,31200,42230
35-2021.00,888770,34220,28740,37540
35-3011.00,745610,33530,25790,46790
35-3023.00,3780930,30480,27150,35440
35-3031.00,2302690,33760,25690,45350
35-3041.00,271780,34460,29800,37550
35-9011.00,522010,32670,27830,36880
35-9021.00,471670,33670,28740,36750
35-9031.00,427150,30380,26630,35840
35-9099.00,89580,34830,29890,38860
37-1011.00,174660,47520,38600,60330
37-1012.00,124130,56170,46350,70320
37-2011.00,2199900,35930,30830,41650
37-2012.00,854910,34660,29630,38510
37-2019.00,16370,42360,35610,48400
37-2021.00,96110,44730,37060,49300
37-3011.00,943430,38090,35250,45870
37-3012.00,25200,45200,38040,50960
37-3013.00,47870,50430,43690,63130
37-3019.00,13580,43410,37810,52830
39-1013.00,25530,61590,49190,74080
39-1014.00,92830,46900,37960,60190
39-1022.00,107060,47080,37800,59330
39-2011.00,20110,38750,32870,48900
39-2021.00,277300,33470,28870,37160
39-3011.00,82980,33280,24480,45430
39-3012.00,7600,30460,24960,36310
39-3019.00,14920,34530,27570,38950
39-3021.00,1950,38180,29250,75380
39-3031.00,119210,31150,27140,35650
39-3091.00,371590,30490,26430,35360
39-3092.00,6290,54810,39240,83090
39-3093.00,14960,34800,29120,41530
39-3099.00,8060,34550,28180,40360
39-4011.00,3420,56280,46160,64760
39-4012.00,2950,42880,35890,49800
39-4021.00,30560,34610,29420,39230
39-4031.00,25700,49800,38470,67140
39-5011.00,18100,38960,32050,59180
39-5012.00,295460,35250,29060,48300
39-5091.00,3320,50280,28850,132530
39-5092.00,147820,34660,31510,37660
39-5093.00,8890,31470,27390,35610
39-5094.00,70240,41560,34130,55860
39-6011.00,31220,36020,29830,40780
39-6012.00,44200,37320,33860,45700
39-7010.00,49010,36660,31250,45910
39-9011.00,520180,32050,28000,36960
39-9031.00,303620,46180,34090,60920
39-9032.00,309640,35380,30460,41120
39-9041.00,82810,39180,33890,47590
39-9099.00,62390,37900,32450,39190
41-1011.00,1113160,47320,37580,60510
41-1012.00,219010,84130,62730,118190
41-2011.00,3148030,31190,27780,35410
41-2012.00,21930,34810,28870,39350
41-2021.00,398620,38540,34200,48290
41-2022.00,265060,37440,30630,48410
41-2031.00,3800250,34580,29140,37850
41-3011.00,97470,61460,44980,91430
41-3021.00,469480,60370,45520,91150
41-3031.00,472300,78140,51600,129480
41-3041.00,59150,48450,38760,60880
41-3091.00,1189330,66260,47120,98780
41-4011.00,293930,100070,65640,146150
41-4012.00,1266860,66780,49040,97570
41-9011.00,64770,37960,33860,50100
41-9012.00,5350,89990,45760,89990
41-9021.00,49590,72280,48200,114220
41-9022.00,190600,56320,38940,85440
41-9031.00,56690,121520,90690,159200
41-9041.00,66430,34410,29120,38640
41-9091.00,4590,34530,31200,42970
41-9099.00,99070,46370,35040,66240
43-1011.00,1495580,66140,53190,82340
43-2011.00,35730,38370,34250,46330
43-2021.00,3950,39130,35860,48530
43-2099.00,1390,49910,44620,64310
43-3011.00,165020,46040,38290,54990
43-3021.00,417500,47170,40260,56350
43-3031.00,1455770,49210,41390,60220
43-3041.00,13490,36990,31870,43840
43-3051.00,156950,55290,45440,65750
43-3061.00,59900,48510,41240,57680
43-3071.00,339340,39340,36420,45550
43-3099.00,37030,52150,46350,61190
43-4011.00,40090,62940,53880,77400
43-4021.00,6260,46740,38510,52480
43-4031.00,170010,47700,39730,59590
43-4041.00,11960,49130,40850,59530
43-4051.00,2725930,42830,35970,50140
43-4061.00,156260,51500,43850,61680
43-4071.00,78980,41270,35120,50020
43-4081.00,261430,34270,29210,37430
43-4111.00,157310,43830,37380,50440
43-4121.00,80070,36010,30190,44200
43-4131.00,173100,48950,42720,59520
43-4141.00,38030,46610,40050,51510
43-4151.00,83420,44660,38110,51890
43-4161.00,92580,49440,42360,58560
43-4171.00,964530,37230,32660,44070
43-4181.00,127440,41460,37200,54930
43-4199.00,143910,48360,39610,58680
43-5011.00,97800,49900,43490,62230
43-5021.00,71920,38340,35130,44630
43-5031.00,101140,50730,42140,62840
43-5032.00,211000,48880,40240,61520
43-5041.00,19620,49180,39620,68030
43-5051.00,78060,61630,55410,74050
43-5052.00,336040,57490,46030,75300
43-5053.00,111930,56530,47380,72970
43-5061.00,385000,57770,46600,71480
43-5071.00,857630,43190,37040,49390
43-5111.00,49720,45650,38650,53060
43-6011.00,472770,74260,60000,90440
43-6012.00,154540,54140,42720,72090
43-6013.00,830760,44640,37880,49720
43-6014.00,1737820,46290,37770,55650
43-9021.00,135280,39850,34900,47260
43-9022.00,36030,47850,39740,56000
43-9031.00,4000,53620,42680,71990
43-9041.00,229070,48450,41600,59500
43-9051.00,62730,38150,34440,44940
43-9061.00,2510550,43630,35350,52560
43-9071.00,24740,39020,34420,46680
43-9081.00,5160,49210,38590,62380
43-9111.00,5900,51440,45970,63620
43-9199.00,195890,46040,35390,57500
45-1011.00,29530,59330,47660,76640
45-2011.00,12090,50990,42740,64960
45-2021.00,1730,52000,43310,59630
45-2041.00,26870,35430,33550,38010
45-2091.00,30940,42580,36640,48690
45-2092.00,261690,35690,34280,38950
45-2093.00,35420,36150,31220,44280
45-2099.00,4980,40390,33870,52730
45-4011.00,5630,43680,36400,45200
45-4021.00,4110,53900,43670,65040
45-4022.00,22520,49210,43750,60640
45-4023.00,3310,46710,38390,56200
45-4029.00,2160,52000,42010,62000
47-1011.00,806080,78690,62400,100200
47-2011.00,10170,73340,62230,93520
47-2021.00,53520,60800,49430,77290
47-2022.00,8750,51990,44820,64120
47-2031.00,697740,59310,47550,75620
47-2041.00,14980,49850,39140,65530
47-2042.00,24850,54340,44760,72390
47-2043.00,4140,49150,41320,58230
47-2044.00,38740,52240,44540,64980
47-2051.00,205230,54660,46020,65840
47-2053.00,1450,57260,46940,73490
47-2061.00,1057660,46730,38100,58910
47-2071.00,45680,51650,44740,66060
47-2072.00,3040,70510,54750,103960
47-2073.00,469270,58710,47780,75750
47-2081.00,82900,58140,46880,72660
47-2082.00,12500,64700,50780,82990
47-2111.00,742580,62350,48820,81730
47-2121.00,57000,55440,45530,68300
47-2131.00,38610,48680,40270,60420
47-2132.00,25640,57250,47480,75300
47-2141.00,224180,48660,42510,60270
47-2142.00,1520,48260,40930,58470
47-2151.00,33580,48710,42320,60980
47-2152.00,455940,62970,48860,81900
47-2161.00,20880,56020,46990,72210
47-2171.00,14140,59280,47300,74190
47-2181.00,136740,50970,45300,64010
47-2211.00,117470,60850,47290,79620
47-2221.00,64720,62700,49090,82780
47-2231.00,28280,51860,46040,63020
47-3011.00,15660,46480,38600,58080
47-3012.00,24610,41600,35870,46780
47-3013.00,64440,39890,36400,47520
47-3014.00,7220,38140,35230,45290
47-3015.00,43640,39270,35750,46550
47-3016.00,5170,40590,34800,47570
47-3019.00,25510,40760,36400,48500
47-4011.00,137210,72120,57300,92330
47-4021.00,23340,106580,76700,131740
47-4031.00,22640,46940,39040,57070
47-4041.00,50570,48490,42710,62150
47-4051.00,151750,49070,41540,59600
47-4061.00,16480,67370,51630,79330
47-4071.00,29050,49140,42700,60320
47-4090.00,33530,48120,39990,60960
47-5011.00,11040,62740,49440,72820
47-5012.00,13090,65010,52600,81550
47-5013.00,44120,57980,47330,70510
47-5022.00,34210,52550,46290,63630
47-5023.00,17410,59600,49720,73530
47-5032.00,5680,59110,49860,80050
47-5041.00,14340,63380,50850,76850
47-5043.00,2230,76640,67110,80230
47-5044.00,6130,68860,59130,76820
47-5049.00,3480,67220,50660,80440
47-5051.00,3080,47460,39990,58290
47-5071.00,45330,47510,38330,57170
47-5081.00,6720,48400,39980,57560
47-5099.00,6070,50110,39120,65350
49-1011.00,600680,78300,61240,99630
49-2011.00,73010,46860,38290,59420
49-2021.00,11400,64190,50610,84770
49-2022.00,153890,62630,50580,80040
49-2091.00,20900,81390,65170,98990
49-2092.00,16570,53990,44480,66180
49-2093.00,7310,82730,65750,95730
49-2094.00,59990,71300,56750,85160
49-2095.00,23040,100940,79930,114740
49-2096.00,10140,47940,39970,58900
49-2097.00,22170,50620,43330,63250
49-2098.00,81510,59300,47330,71340
49-3011.00,136390,78680,61920,95050
49-3021.00,155220,51680,45000,64780
49-3022.00,18940,47260,39990,58160
49-3023.00,688840,49670,38140,65660
49-3031.00,287230,60640,49240,73690
49-3041.00,36880,52080,45660,63070
49-3042.00,180270,63980,53500,78090
49-3043.00,18300,65680,51640,80150
49-3051.00,24250,54950,45070,65120
49-3052.00,14010,47200,38270,58880
49-3053.00,34240,46560,38260,56080
49-3091.00,12590,40360,35880,47560
49-3092.00,18710,50540,43370,63300
49-3093.00,106620,37120,33990,43810
49-9011.00,27970,51050,44720,61350
49-9012.00,46920,74690,53060,97400
49-9021.00,396870,59810,47850,74820
49-9031.00,31940,49410,40280,61750
49-9041.00,421940,63760,52710,78070
49-9043.00,56540,60500,48600,72260
49-9044.00,40660,65170,55420,80580
49-9045.00,1100,58540,48380,73940
49-9051.00,123680,92560,65740,107940
49-9052.00,98360,70500,50620,95520
49-9061.00,2010,49300,42590,62400
49-9062.00,60830,62630,48100,79440
49-9063.00,5730,45320,35820,56960
49-9064.00,1300,60690,46530,77340
49-9069.00,9680,67080,52090,82030
49-9071.00,1531700,48620,39050,61710
49-9081.00,11220,62580,58910,75640
49-9091.00,28260,47350,38580,56290
49-9092.00,3430,61130,49370,93840
49-9094.00,15550,50490,40650,64330
49-9095.00,2610,41080,35290,48410
49-9096.00,24190,62060,47940,79340
49-9097.00,8210,83600,75680,95620
49-9098.00,97540,38860,33760,46600
49-9099.00,183690,48640,40700,61090
51-1011.00,685140,71190,56330,86770
51-2011.00,32890,61680,53180,75240
51-2021.00,12170,47260,39380,57800
51-2028.00,261140,44040,37450,49830
51-2031.00,38420,52540,42790,70050
51-2041.00,53380,49900,44290,59810
51-2051.00,18520,45760,39230,51530
51-2061.00,230,40790,27850,58440
51-2090.00,1457800,42210,36660,49410
51-3011.00,231890,36650,31470,42570
51-3021.00,140040,38960,34460,47200
51-3022.00,141090,37700,34050,43450
51-3023.00,67500,39790,35940,45930
51-3091.00,19500,42730,36610,48680
51-3092.00,171660,40790,35340,49010
51-3093.00,27660,40550,35310,47420
51-3099.00,57920,38420,35360,43020
51-4021.00,65700,46980,39370,54360
51-4022.00,8760,49240,41350,59270
51-4023.00,22350,48630,41600,57730
51-4031.00,174430,45590,38400,52150
51-4032.00,5310,46630,41100,56820
51-4033.00,70110,45190,38420,51380
51-4034.00,18970,48620,41180,58100
51-4035.00,13810,48310,41650,61290
51-4041.00,298790,56150,46250,64910
51-4051.00,20330,55770,46550,65070
51-4052.00,5830,48940,41410,59850
51-4061.00,3230,62700,48860,79470
51-4062.00,1570,54540,47520,66590
51-4071.00,12720,45700,39370,51360
51-4072.00,154820,41230,36290,49100
51-4081.00,129850,46060,38320,56220
51-4111.00,55130,63180,51200,77430
51-4121.00,424040,51000,45580,61610
51-4122.00,36290,47060,39480,55870
51-4191.00,14590,47450,39900,56330
51-4192.00,5610,61870,51810,76980
51-4193.00,31510,41600,36620,48990
51-4194.00,5730,48970,39520,60210
51-4199.00,20270,42750,36890,49930
51-5111.00,23070,47300,39000,57530
51-5112.00,145110,45160,36970,54340
51-5113.00,36470,39820,36070,48240
51-6011.00,195360,33800,29530,36760
51-6021.00,26830,33880,29060,36830
51-6031.00,109590,36000,31200,40810
51-6041.00,7640,35950,29400,41400
51-6042.00,3270,38160,30450,43390
51-6051.00,2240,33760,29210,38180
51-6052.00,16290,40860,33480,49780
51-6061.00,5820,37320,32350,43230
51-6062.00,8960,37940,32380,43710
51-6063.00,14530,38260,34530,44180
51-6064.00,20600,37660,35270,40970
51-6091.00,14900,44980,38990,54690
51-6092.00,2860,67670,44110,91080
51-6093.00,20990,46190,37200,51740
