"occupation_id","from_onet_task_id","to_onet_task_id","dependency_type","dependency_strength","edge_confidence","notes"
"occ_27_3042_00","manual_tw_02","manual_tw_03","enables","0.45","0.80","manual_role_graph_dependency"
"occ_41_3091_00","manual_sr_01","manual_sr_02","feeds","0.58","0.84","manual_role_graph_dependency"
"occ_41_3091_00","manual_sr_02","manual_sr_03","supports","0.61","0.86","manual_role_graph_dependency"
"occ_13_1199_00","manual_bo_04","manual_bo_02","feeds","0.47","0.80","manual_role_graph_dependency"
"occ_13_1199_00","manual_bo_01","manual_bo_03","feeds","0.55","0.82","manual_role_graph_dependency"
"occ_13_1199_00","manual_bo_03","manual_bo_05","supports","0.59","0.84","manual_role_graph_dependency"
"occ_13_1199_00","manual_bo_05","manual_bo_07","supports","0.48","0.80","manual_role_graph_dependency"
"occ_13_1199_00","manual_bo_10","manual_bo_11","feeds","0.53","0.82","manual_role_graph_dependency"
"occ_13_1199_00","manual_bo_11","manual_bo_15","feeds","0.57","0.84","manual_role_graph_dependency"
"occ_13_1199_00","manual_bo_14","manual_bo_16","enables","0.45","0.78","manual_role_graph_dependency"
"occ_13_1199_00","manual_bo_13","manual_bo_15","supports","0.41","0.76","manual_role_graph_dependency"
"occ_13_1082_00","jd_pm_01","jd_pm_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_13_1082_00","jd_pm_02","jd_pm_04","feeds","0.63","0.86","reviewed_job_posting_dependency"
"occ_13_1082_00","jd_pm_03","jd_pm_04","supports","0.57","0.82","reviewed_job_posting_dependency"
"occ_13_1199_00","jd_bo_01","jd_bo_02","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_13_1199_00","jd_bo_02","jd_bo_03","supports","0.55","0.82","reviewed_job_posting_dependency"
"occ_13_1199_00","jd_bo_03","jd_bo_04","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_43_4051_00","jd_cs_01","jd_cs_02","feeds","0.59","0.84","reviewed_job_posting_dependency"
"occ_43_4051_00","jd_cs_02","jd_cs_03","supports","0.55","0.82","reviewed_job_posting_dependency"
"occ_43_4051_00","jd_cs_03","jd_cs_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_13_2011_00","jd_acc_01","jd_acc_03","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_13_2011_00","jd_acc_02","jd_acc_01","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_13_2011_00","jd_acc_01","jd_acc_04","feeds","0.61","0.84","reviewed_job_posting_dependency"
"occ_23_2011_00","jd_para_01","jd_para_02","feeds","0.59","0.84","reviewed_job_posting_dependency"
"occ_23_2011_00","jd_para_02","jd_para_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_23_2011_00","jd_para_03","jd_para_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_13_1071_00","jd_hr_02","jd_hr_01","supports","0.57","0.82","reviewed_job_posting_dependency"
"occ_13_1071_00","jd_hr_01","jd_hr_04","feeds","0.59","0.84","reviewed_job_posting_dependency"
"occ_13_1071_00","jd_hr_03","jd_hr_04","supports","0.55","0.82","reviewed_job_posting_dependency"
"occ_13_1151_00","jd_td_01","jd_td_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_13_1151_00","jd_td_02","jd_td_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_13_1151_00","jd_td_03","jd_td_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_13_1161_00","jd_mk_02","jd_mk_01","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_13_1161_00","jd_mk_01","jd_mk_04","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_13_1161_00","jd_mk_03","jd_mk_04","supports","0.55","0.82","reviewed_job_posting_dependency"
"occ_15_1211_00","jd_sa_01","jd_sa_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_15_1211_00","jd_sa_02","jd_sa_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_15_1211_00","jd_sa_03","jd_sa_04","feeds","0.57","0.84","reviewed_job_posting_dependency"
"occ_15_1252_00","jd_sd_03","jd_sd_01","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_15_1252_00","jd_sd_01","jd_sd_02","feeds","0.61","0.84","reviewed_job_posting_dependency"
"occ_15_1252_00","jd_sd_02","jd_sd_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_11_1021_00","jd_gm_01","jd_gm_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_11_1021_00","jd_gm_02","jd_gm_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_11_1021_00","jd_gm_03","jd_gm_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_13_2051_00","jd_fa_01","jd_fa_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_13_2051_00","jd_fa_02","jd_fa_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_13_2051_00","jd_fa_03","jd_fa_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_15_2031_00","jd_or_01","jd_or_02","supports","0.57","0.82","reviewed_job_posting_dependency"
"occ_15_2031_00","jd_or_02","jd_or_03","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_15_2031_00","jd_or_03","jd_or_04","supports","0.55","0.82","reviewed_job_posting_dependency"
"occ_15_1254_00","jd_wd_01","jd_wd_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_15_1254_00","jd_wd_02","jd_wd_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_15_1254_00","jd_wd_03","jd_wd_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_27_1024_00","jd_gd_02","jd_gd_01","enables","0.55","0.82","reviewed_job_posting_dependency"
"occ_27_1024_00","jd_gd_01","jd_gd_03","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_27_1024_00","jd_gd_03","jd_gd_04","supports","0.55","0.82","reviewed_job_posting_dependency"
"occ_27_3043_00","jd_wa_02","jd_wa_01","enables","0.55","0.82","reviewed_job_posting_dependency"
"occ_27_3043_00","jd_wa_03","jd_wa_01","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_27_3043_00","jd_wa_01","jd_wa_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_41_3011_00","jd_as_01","jd_as_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_41_3011_00","jd_as_02","jd_as_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_41_3011_00","jd_as_03","jd_as_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_13_1041_00","jd_co_01","jd_co_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_13_1041_00","jd_co_02","jd_co_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_13_1041_00","jd_co_03","jd_co_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_13_1081_00","jd_log_02","jd_log_01","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_13_1081_00","jd_log_01","jd_log_03","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_13_1081_00","jd_log_03","jd_log_04","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_17_2072_00","jd_ee_02","jd_ee_01","enables","0.56","0.82","reviewed_job_posting_dependency"
"occ_17_2072_00","jd_ee_01","jd_ee_03","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_17_2072_00","jd_ee_03","jd_ee_04","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_17_2141_00","jd_me_04","jd_me_01","enables","0.55","0.82","reviewed_job_posting_dependency"
"occ_17_2141_00","jd_me_01","jd_me_02","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_17_2141_00","jd_me_02","jd_me_03","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_27_3023_00","jd_jr_01","jd_jr_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_27_3023_00","jd_jr_02","jd_jr_03","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_27_3023_00","jd_jr_03","jd_jr_04","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_27_3031_00","jd_pr_01","jd_pr_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_27_3031_00","jd_pr_02","jd_pr_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_27_3031_00","jd_pr_03","jd_pr_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_27_3041_00","jd_ed_01","jd_ed_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_27_3041_00","jd_ed_02","jd_ed_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_27_3041_00","jd_ed_03","jd_ed_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_43_9111_00","jd_st_01","jd_st_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_43_9111_00","jd_st_02","jd_st_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_43_9111_00","jd_st_03","jd_st_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_43_3031_00","jd_bk_01","jd_bk_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_43_3031_00","jd_bk_02","jd_bk_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_43_3031_00","jd_bk_03","jd_bk_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_43_9061_00","jd_oc_01","jd_oc_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_43_9061_00","jd_oc_02","jd_oc_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_43_9061_00","jd_oc_03","jd_oc_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_43_6014_00","jd_adm_01","jd_adm_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_43_6014_00","jd_adm_02","jd_adm_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_43_6014_00","jd_adm_03","jd_adm_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_43_6011_00","jd_ea_01","jd_ea_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_43_6011_00","jd_ea_02","jd_ea_03","supports","0.56","0.82","reviewed_job_posting_dependency"
"occ_43_6011_00","jd_ea_03","jd_ea_04","feeds","0.58","0.84","reviewed_job_posting_dependency"
