"occupation_id","task_cluster_id","exposure_score","augmentation_likelihood","partial_automation_likelihood","high_automation_likelihood","evidence_confidence","primary_sources","notes"
"occ_13_2011_00","cluster_analysis","0.79","0.54","0.51","0.39","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_decision_support","0.65","0.62","0.36","0.24","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_documentation","0.75","0.48","0.54","0.42","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2031_00","cluster_analysis","0.79","0.54","0.51","0.39","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2031_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2031_00","cluster_decision_support","0.65","0.62","0.36","0.24","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2031_00","cluster_documentation","0.75","0.48","0.54","0.42","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2031_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2031_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_analysis","0.79","0.54","0.51","0.39","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_decision_support","0.65","0.62","0.36","0.24","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_documentation","0.75","0.48","0.54","0.42","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2052_00","cluster_analysis","0.79","0.54","0.51","0.39","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2052_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2052_00","cluster_decision_support","0.65","0.62","0.36","0.24","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2052_00","cluster_documentation","0.75","0.48","0.54","0.42","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2052_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2052_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2053_00","cluster_analysis","0.79","0.54","0.51","0.39","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2053_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2053_00","cluster_decision_support","0.65","0.62","0.36","0.24","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2053_00","cluster_documentation","0.75","0.48","0.54","0.42","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2053_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2053_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2072_00","cluster_analysis","0.79","0.54","0.51","0.39","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2072_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2072_00","cluster_decision_support","0.65","0.62","0.36","0.24","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2072_00","cluster_documentation","0.75","0.48","0.54","0.42","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2072_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2072_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_analysis","0.86","0.67","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_coordination","0.70","0.73","0.30","0.18","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_documentation","0.82","0.61","0.50","0.38","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_drafting","0.88","0.61","0.54","0.42","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_oversight_strategy","0.64","0.71","0.24","0.12","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","cluster_qa_review","0.76","0.73","0.43","0.31","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1232_00","cluster_client_interaction","0.51","0.64","0.21","0.09","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1232_00","cluster_coordination","0.55","0.66","0.25","0.13","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1232_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1232_00","cluster_documentation","0.67","0.54","0.45","0.33","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1232_00","cluster_execution_routine","0.75","0.46","0.53","0.41","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1232_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1252_00","cluster_analysis","0.86","0.67","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1252_00","cluster_coordination","0.70","0.73","0.30","0.18","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1252_00","cluster_documentation","0.82","0.61","0.50","0.38","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1252_00","cluster_drafting","0.91","0.62","0.71","0.63","0.86","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_15_1252_00","cluster_oversight_strategy","0.64","0.71","0.24","0.12","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1252_00","cluster_qa_review","0.74","0.72","0.28","0.20","0.81","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_15_1257_00","cluster_analysis","0.86","0.67","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1257_00","cluster_coordination","0.70","0.73","0.30","0.18","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1257_00","cluster_documentation","0.82","0.61","0.50","0.38","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1257_00","cluster_drafting","0.88","0.61","0.54","0.42","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1257_00","cluster_oversight_strategy","0.64","0.71","0.24","0.12","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1257_00","cluster_qa_review","0.76","0.73","0.43","0.31","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2051_00","cluster_analysis","0.84","0.70","0.41","0.29","0.60","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2051_00","cluster_coordination","0.68","0.76","0.24","0.12","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2051_00","cluster_decision_support","0.70","0.78","0.26","0.14","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2051_00","cluster_drafting","0.86","0.64","0.48","0.36","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2051_00","cluster_qa_review","0.74","0.76","0.37","0.25","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2051_00","cluster_research_synthesis","0.82","0.68","0.40","0.28","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_client_interaction","0.48","0.51","0.16","0.04","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_coordination","0.52","0.53","0.20","0.08","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_decision_support","0.54","0.55","0.22","0.10","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_documentation","0.64","0.41","0.40","0.28","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_qa_review","0.58","0.53","0.33","0.21","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_relationship_management","0.42","0.49","0.12","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_research_synthesis","0.66","0.45","0.36","0.24","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_client_interaction","0.48","0.51","0.16","0.04","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_coordination","0.52","0.53","0.20","0.08","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_decision_support","0.54","0.55","0.22","0.10","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_documentation","0.64","0.41","0.40","0.28","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_qa_review","0.58","0.53","0.33","0.21","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_relationship_management","0.42","0.49","0.12","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_research_synthesis","0.66","0.45","0.36","0.24","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3031_00","cluster_client_interaction","0.57","0.68","0.14","0.02","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3031_00","cluster_coordination","0.61","0.70","0.18","0.06","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3031_00","cluster_documentation","0.73","0.58","0.38","0.26","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3031_00","cluster_drafting","0.79","0.58","0.42","0.30","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3031_00","cluster_qa_review","0.67","0.70","0.31","0.19","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3031_00","cluster_relationship_management","0.51","0.66","0.10","0.02","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3031_00","cluster_research_synthesis","0.75","0.62","0.34","0.22","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3041_00","cluster_client_interaction","0.62","0.67","0.28","0.16","0.45","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3041_00","cluster_coordination","0.66","0.69","0.32","0.20","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3041_00","cluster_documentation","0.78","0.57","0.52","0.40","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3041_00","cluster_drafting","0.84","0.57","0.56","0.44","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3041_00","cluster_oversight_strategy","0.60","0.67","0.26","0.14","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3041_00","cluster_qa_review","0.72","0.69","0.45","0.33","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3041_00","cluster_research_synthesis","0.80","0.61","0.48","0.36","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3042_00","cluster_client_interaction","0.62","0.67","0.28","0.16","0.45","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3042_00","cluster_coordination","0.66","0.69","0.32","0.20","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3042_00","cluster_documentation","0.78","0.57","0.52","0.40","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3042_00","cluster_drafting","0.84","0.57","0.56","0.44","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3042_00","cluster_oversight_strategy","0.60","0.67","0.26","0.14","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3042_00","cluster_qa_review","0.72","0.69","0.45","0.33","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3042_00","cluster_research_synthesis","0.80","0.61","0.48","0.36","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3043_00","cluster_client_interaction","0.62","0.67","0.28","0.16","0.45","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3043_00","cluster_coordination","0.66","0.69","0.32","0.20","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3043_00","cluster_documentation","0.78","0.57","0.52","0.40","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3043_00","cluster_drafting","0.84","0.57","0.56","0.44","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3043_00","cluster_oversight_strategy","0.60","0.67","0.26","0.14","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3043_00","cluster_qa_review","0.72","0.69","0.45","0.33","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3043_00","cluster_research_synthesis","0.80","0.61","0.48","0.36","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_client_interaction","0.45","0.57","0.08","0.02","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_coordination","0.49","0.59","0.12","0.02","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_decision_support","0.51","0.61","0.14","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_documentation","0.61","0.47","0.32","0.20","0.46","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_relationship_management","0.39","0.55","0.04","0.02","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_research_synthesis","0.63","0.51","0.28","0.16","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_workflow_admin","0.65","0.45","0.36","0.24","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","cluster_analysis","0.79","0.54","0.51","0.39","0.59","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","cluster_decision_support","0.65","0.62","0.36","0.24","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","cluster_documentation","0.75","0.48","0.54","0.42","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","cluster_execution_routine","0.83","0.40","0.62","0.50","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","cluster_qa_review","0.69","0.60","0.47","0.35","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_client_interaction","0.51","0.64","0.21","0.09","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_coordination","0.55","0.66","0.25","0.13","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_documentation","0.67","0.54","0.45","0.33","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_execution_routine","0.75","0.46","0.53","0.41","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_client_interaction","0.51","0.64","0.21","0.09","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_coordination","0.55","0.66","0.25","0.13","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_documentation","0.67","0.54","0.45","0.33","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_execution_routine","0.75","0.46","0.53","0.41","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
