onet_soc_code,occupation_title,exposure_score,augmentation_score,automation_score,adaptive_capacity_score,confidence,release_date,source_table,notes
15-1252.00,Software developers,0.45,,,0.98,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
41-4012.00,"Sales representatives, wholesale and manufacturing",0.61,,,0.49,,2026-01-01,Table 5,Broad group; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
49-9071.00,"Maintenance and repair workers, general",0.07,,,0.36,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
25-9042.00,Teaching assistants,0.40,,,0.61,,2026-01-01,Table 5,Broad teaching assistants category; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
51-2090.00,Other assemblers and fabricators,0.04,,,0.11,,2026-01-01,Table 5,Miscellaneous assemblers; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-1011.00,First-line supervisors of office and administrative support workers,0.52,,,0.66,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-3031.00,"Bookkeeping, accounting, and auditing clerks",0.32,,,0.05,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-2011.00,Accountants and auditors,0.52,,,0.77,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
31-1131.00,Nursing assistants,0.12,,,0.44,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
33-9032.00,Security guards and gambling surveillance officers,0.26,,,0.71,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
53-1000.00,Supervisors of transportation and material moving workers,0.17,,,0.94,,2026-01-01,Table 5,Broad supervisor group; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
41-3091.00,"Sales representatives of services, except advertising, insurance, financial services, and travel",0.57,,,0.91,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
35-1012.00,First-line supervisors of food preparation and serving workers,0.27,,,0.63,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
25-2031.00,Secondary school teachers,0.34,,,0.74,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
41-1011.00,First-line supervisors of retail sales workers,0.43,,,0.46,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
47-2061.00,Construction laborers,0.02,,,0.12,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-1082.00,Project management specialists,0.40,,,0.96,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-1071.00,Human resources specialists,0.35,,,0.75,,2026-01-01,Table 5,Paper says 'Human resources workers'; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-4171.00,Receptionists and information clerks,0.58,,,0.30,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
25-3090.00,Other teachers and instructors,0.31,,,0.49,,2026-01-01,Table 5,Miscellaneous teachers; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
37-3011.00,Landscaping and groundskeeping workers,0.04,,,0.02,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-1111.00,Management analysts,0.50,,,0.90,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
35-2021.00,Food preparation workers,0.05,,,0.13,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-1161.00,Market research analysts and marketing specialists,0.58,,,0.95,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-5071.00,"Shipping, receiving, and inventory clerks",0.36,,,0.45,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
37-2012.00,Maids and housekeeping cleaners,0.08,,,0.01,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
15-1230.00,Computer support specialists,0.60,,,0.85,,2026-01-01,Table 5,Broad group 15-1230; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-6013.00,Medical secretaries and administrative assistants,0.62,,,0.23,,2026-01-01,Table 5,High-vulnerability occupation per paper; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
11-3031.00,Financial managers,0.45,,,0.89,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
47-1011.00,First-line supervisors of construction trades and extraction workers,0.20,,,0.57,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
53-7051.00,Industrial truck and tractor operators,0.05,,,0.18,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
23-1011.00,Lawyers,0.36,,,0.85,,2026-01-01,Table 5,"Paper combines lawyers, judges, magistrates; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly"
31-9092.00,Medical assistants,0.15,,,0.93,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
41-9091.00,"Door-to-door sales workers, news and street vendors",0.50,,,0.03,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-4031.00,"Court, municipal, and license clerks",0.58,,,0.11,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-3051.00,Payroll and timekeeping clerks,0.50,,,0.15,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-2020.00,Property appraisers and assessors,0.50,,,0.15,,2026-01-01,Table 1,Using broad group code; exact SOC may be 13-2023.00; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-2081.00,"Tax examiners and collectors, and revenue agents",0.62,,,0.18,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-4061.00,"Eligibility interviewers, government programs",0.59,,,0.18,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
41-3021.00,Insurance sales agents,0.53,,,0.24,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
27-3091.00,Interpreters and translators,0.82,,,0.29,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-9041.00,Insurance claims and policy processing clerks,0.54,,,0.30,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-2082.00,Tax preparers,0.62,,,0.30,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-6012.00,Legal secretaries and administrative assistants,0.75,,,0.37,,2026-01-01,Table 1,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
15-1255.00,Web and digital interface designers,0.68,,,1.00,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
11-2021.00,Marketing managers,0.60,,,1.00,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
27-2012.00,Producers and directors,0.52,,,1.00,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-2051.00,Financial and investment analysts,0.50,,,0.99,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
11-3021.00,Computer and information systems managers,0.56,,,0.99,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
15-1241.00,Computer network architects,0.56,,,0.99,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
15-2090.00,Other mathematical science occupations,0.66,,,0.99,,2026-01-01,Table 2,"Broad group; includes operations research analysts, statisticians, etc.; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly"
15-1254.00,Web developers,0.64,,,0.97,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
19-1090.00,Other life scientists,0.55,,,0.97,,2026-01-01,Table 2,Miscellaneous life scientists; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
13-2099.00,Other financial specialists,0.58,,,0.97,,2026-01-01,Table 2,Broad residual financial category; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
15-1212.00,Information security analysts,0.54,,,0.97,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
15-1253.00,Software quality assurance analysts and testers,0.60,,,0.97,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
15-1221.00,Computer and information research scientists,0.50,,,0.97,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
19-2030.00,Chemists and materials scientists,0.46,,,0.96,,2026-01-01,Table 2,Broad group; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
11-2031.00,Public relations and fundraising managers,0.54,,,0.96,,2026-01-01,Table 2,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
31-9091.00,Dental assistants,0.09,,,0.76,,2026-01-01,Table 6,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
33-2011.00,Firefighters,0.08,,,0.91,,2026-01-01,Table 6,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
33-9099.00,Other protective service workers,0.13,,,0.87,,2026-01-01,Table 6,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
29-2099.00,Miscellaneous health technologists and technicians,0.12,,,0.88,,2026-01-01,Table 6,Broad residual category; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
29-1071.00,Physician assistants,0.12,,,0.97,,2026-01-01,Table 6,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
31-2020.00,Physical therapist assistants and aides,0.11,,,0.84,,2026-01-01,Table 6,Broad group; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
29-2055.00,Surgical technologists,0.03,,,0.76,,2026-01-01,Table 6,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
49-9052.00,Telecommunications line installers and repairers,0.02,,,0.81,,2026-01-01,Table 6,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
39-5094.00,Skincare specialists,0.11,,,0.84,,2026-01-01,Table 6,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
