"occupation_id","task_cluster_id","exposure_score","augmentation_likelihood","partial_automation_likelihood","high_automation_likelihood","evidence_confidence","primary_sources","notes"
"occ_15_2051_00","cluster_qa_review","0.74","0.76","0.37","0.25","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2051_00","cluster_research_synthesis","0.82","0.68","0.40","0.28","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2072_00","cluster_analysis","0.17","0.19","0.11","0.03","0.60","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2072_00","cluster_client_interaction","0.10","0.19","0.11","0.03","0.49","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2072_00","cluster_coordination","0.51","0.58","0.11","0.02","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2072_00","cluster_decision_support","0.02","0.00","0.16","0.08","0.32","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_17_2072_00","cluster_documentation","0.23","0.49","0.45","0.37","0.74","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2072_00","cluster_drafting","0.23","0.68","0.12","0.04","0.69","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2072_00","cluster_execution_routine","0.71","0.38","0.39","0.27","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2072_00","cluster_oversight_strategy","0.45","0.56","0.05","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2072_00","cluster_qa_review","0.22","0.60","0.39","0.31","0.71","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2141_00","cluster_analysis","0.00","0.00","0.01","0.02","0.01","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2141_00","cluster_client_interaction","0.00","0.01","0.01","0.02","0.02","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2141_00","cluster_coordination","0.51","0.58","0.11","0.02","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2141_00","cluster_decision_support","0.21","0.55","0.15","0.07","0.68","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2141_00","cluster_documentation","0.22","0.19","0.68","0.60","0.68","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_17_2141_00","cluster_execution_routine","0.71","0.38","0.39","0.27","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2141_00","cluster_oversight_strategy","0.45","0.56","0.05","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2141_00","cluster_qa_review","0.57","0.58","0.24","0.12","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_analysis","0.13","0.21","0.58","0.50","0.60","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_23_1011_00","cluster_client_interaction","0.09","0.11","0.10","0.02","0.49","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_23_1011_00","cluster_coordination","0.52","0.53","0.20","0.08","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_decision_support","0.54","0.55","0.22","0.10","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_documentation","0.64","0.41","0.40","0.28","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_drafting","0.00","0.01","0.00","0.02","0.01","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_23_1011_00","cluster_execution_routine","0.00","0.01","0.01","0.02","0.01","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_23_1011_00","cluster_qa_review","0.58","0.53","0.33","0.21","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_relationship_management","0.42","0.49","0.12","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","cluster_research_synthesis","0.66","0.45","0.36","0.24","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_client_interaction","0.48","0.51","0.16","0.04","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_coordination","0.52","0.53","0.20","0.08","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_decision_support","0.54","0.55","0.22","0.10","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_documentation","0.19","0.54","0.43","0.35","0.72","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_23_2011_00","cluster_qa_review","0.58","0.53","0.33","0.21","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_relationship_management","0.42","0.49","0.12","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","cluster_research_synthesis","0.00","0.00","0.00","0.02","0.01","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_1024_00","cluster_client_interaction","0.17","0.15","0.45","0.36","0.62","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_1024_00","cluster_coordination","0.65","0.73","0.21","0.09","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_1024_00","cluster_documentation","0.77","0.61","0.41","0.29","0.46","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_1024_00","cluster_drafting","0.25","0.23","0.70","0.62","0.64","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_1024_00","cluster_oversight_strategy","0.59","0.71","0.15","0.03","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_1024_00","cluster_qa_review","0.10","0.19","0.12","0.04","0.50","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_1024_00","cluster_research_synthesis","0.10","0.62","0.12","0.04","0.59","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3023_00","cluster_analysis","0.09","0.10","0.12","0.04","0.48","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3023_00","cluster_client_interaction","0.59","0.66","0.16","0.04","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3023_00","cluster_coordination","0.18","0.22","0.47","0.39","0.63","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3023_00","cluster_documentation","0.13","0.24","0.58","0.50","0.67","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3023_00","cluster_drafting","0.15","0.33","0.32","0.24","0.61","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3023_00","cluster_oversight_strategy","0.57","0.66","0.14","0.02","0.46","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3023_00","cluster_qa_review","0.21","0.19","0.42","0.34","0.68","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3023_00","cluster_relationship_management","0.53","0.64","0.12","0.02","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3023_00","cluster_research_synthesis","0.07","0.10","0.08","0.02","0.49","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3031_00","cluster_client_interaction","0.23","0.20","0.72","0.64","0.72","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3031_00","cluster_coordination","0.24","0.17","0.78","0.70","0.71","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
"occ_27_3031_00","cluster_documentation","0.04","0.09","0.05","0.02","0.11","src_anthropic_ei_2026_01_15|src_onet_30_1","anthropic_normalized|mode=release_2026_01_15"
