"occupation_id","title","role_transformation_type","function_anchor_count","primary_driver","secondary_driver","primary_counterweight","evidence_profile","confidence_band","review_priority","explanation_summary"
"occ_11_1021_00","General and Operations Managers","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 20% | reviewed 0% | benchmark 60% | proxy 21%","medium","low","General and Operations Managers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: orchestration (75%); people_resource_leadership (25%). Evidence mix: direct 20% | reviewed 0% | benchmark 60% | proxy 21%."
"occ_23_2011_00","Paralegals and Legal Assistants","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 13% | reviewed 21% | benchmark 50% | proxy 16%","medium","low","Paralegals and Legal Assistants currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: legal_support (75%); matter_coordination (25%). Evidence mix: direct 13% | reviewed 21% | benchmark 50% | proxy 16%."
"occ_27_1024_00","Graphic Designers","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 41% | reviewed 0% | benchmark 39% | proxy 21%","medium","low","Graphic Designers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: creative_production (95%). Evidence mix: direct 41% | reviewed 0% | benchmark 39% | proxy 21%."
"occ_27_3023_00","News Analysts, Reporters, and Journalists","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 34% | reviewed 0% | benchmark 50% | proxy 16%","high","low","News Analysts, Reporters, and Journalists currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: public_information (75%); source_development (25%). Evidence mix: direct 34% | reviewed 0% | benchmark 50% | proxy 16%."
"occ_27_3031_00","Public Relations Specialists","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 40% | reviewed 0% | benchmark 43% | proxy 17%","high","low","Public Relations Specialists currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: stakeholder_messaging (72%); relationship_protection (28%). Evidence mix: direct 40% | reviewed 0% | benchmark 43% | proxy 17%."
"occ_27_3041_00","Editors","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 35% | reviewed 0% | benchmark 48% | proxy 18%","high","low","Editors currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: editorial_judgment (74%); publication_orchestration (26%). Evidence mix: direct 35% | reviewed 0% | benchmark 48% | proxy 18%."
"occ_27_3042_00","Technical Writers","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 32% | reviewed 0% | benchmark 44% | proxy 24%","medium","low","Technical Writers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: information_translation (75%); release_enablement (25%). Evidence mix: direct 32% | reviewed 0% | benchmark 44% | proxy 24%."
"occ_27_3043_00","Writers and Authors","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 34% | reviewed 0% | benchmark 48% | proxy 18%","medium","low","Writers and Authors currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: creative_production (95%). Evidence mix: direct 34% | reviewed 0% | benchmark 48% | proxy 18%."
"occ_41_3011_00","Advertising Sales Agents","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 40% | reviewed 0% | benchmark 44% | proxy 17%","medium","low","Advertising Sales Agents currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: revenue_creation (95%). Evidence mix: direct 40% | reviewed 0% | benchmark 44% | proxy 17%."
"occ_41_3091_00","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 10% | reviewed 23% | benchmark 51% | proxy 16%","high","low","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: revenue_creation (72%); account_stewardship (28%). Evidence mix: direct 10% | reviewed 23% | benchmark 51% | proxy 16%."
"occ_43_3031_00","Bookkeeping, Accounting, and Auditing Clerks","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 35% | reviewed 0% | benchmark 50% | proxy 14%","medium","low","Bookkeeping, Accounting, and Auditing Clerks currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: financial_integrity (95%). Evidence mix: direct 35% | reviewed 0% | benchmark 50% | proxy 14%."
"occ_43_4051_00","Customer Service Representatives","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 36% | reviewed 0% | benchmark 42% | proxy 22%","high","low","Customer Service Representatives currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: service_resolution (95%). Evidence mix: direct 36% | reviewed 0% | benchmark 42% | proxy 22%."
"occ_43_6011_00","Executive Secretaries and Executive Administrative Assistants","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 32% | reviewed 0% | benchmark 51% | proxy 16%","medium","low","Executive Secretaries and Executive Administrative Assistants currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: workflow_execution (95%). Evidence mix: direct 32% | reviewed 0% | benchmark 51% | proxy 16%."
"occ_43_6014_00","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 34% | reviewed 0% | benchmark 50% | proxy 17%","medium","low","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: workflow_execution (95%). Evidence mix: direct 34% | reviewed 0% | benchmark 50% | proxy 17%."
"occ_43_9061_00","Office Clerks, General","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 34% | reviewed 0% | benchmark 48% | proxy 18%","medium","low","Office Clerks, General currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: workflow_execution (95%). Evidence mix: direct 34% | reviewed 0% | benchmark 48% | proxy 18%."
"occ_43_9111_00","Statistical Assistants","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 35% | reviewed 0% | benchmark 44% | proxy 21%","medium","low","Statistical Assistants currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: decision_intelligence (95%). Evidence mix: direct 35% | reviewed 0% | benchmark 44% | proxy 21%."
