occupation_id,onet_soc_code,acs_reference_year,acs_release_label,acs_socp_code,acs_query_mode,sample_record_count,employed_record_count,weighted_worker_count,wage_record_count,median_wage_usd,wage_p25_usd,wage_p75_usd,wage_dispersion_ratio,wage_dispersion_percentile,education_dispersion,industry_dispersion,class_of_worker_dispersion,age_band_dispersion,sex_mix_balance,worker_mix_dispersion,heterogeneity_index,acs_confidence,source_mix,notes
occ_27_3041_00,27-3041.00,2024,acs_1yr_pums,273041,exact_socp,1578,1286,115526.000,1128,65000.000,37000.000,95000.000,0.892,0.742,0.650,0.895,0.601,0.797,0.763,0.736,0.772,0.902,src_census_acs_2024_1yr_pums_api,acs_api_records=1578|employed_records=1286|wage_record_share=0.877|query_mode=exact_socp
occ_27_3042_00,27-3042.00,2024,acs_1yr_pums,273042,exact_socp,764,608,56317.000,596,80000.000,60000.000,110000.000,0.625,0.194,0.693,0.927,0.304,0.789,0.804,0.673,0.671,0.871,src_census_acs_2024_1yr_pums_api,acs_api_records=764|employed_records=608|wage_record_share=0.980|query_mode=exact_socp
occ_27_3043_00,27-3043.00,2024,acs_1yr_pums,273043,exact_socp,3493,2620,251819.000,2033,60000.000,30000.000,90000.000,1.000,0.839,0.668,0.905,0.731,0.795,0.780,0.774,0.806,0.909,src_census_acs_2024_1yr_pums_api,acs_api_records=3493|employed_records=2620|wage_record_share=0.776|query_mode=exact_socp
occ_41_3011_00,41-3011.00,2024,acs_1yr_pums,413011,exact_socp,1224,985,102837.000,937,70000.000,40000.000,135000.000,1.357,1.000,0.641,0.719,0.287,0.795,0.917,0.711,0.754,0.903,src_census_acs_2024_1yr_pums_api,acs_api_records=1224|employed_records=985|wage_record_share=0.951|query_mode=exact_socp
occ_41_3091_00,41-3091.00,2024,acs_1yr_pums,413091,exact_socp,8433,7103,772853.000,6859,80000.000,45000.000,140000.000,1.188,0.968,0.745,0.906,0.218,0.794,0.628,0.592,0.815,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=8433|employed_records=7103|wage_record_share=0.966|query_mode=exact_socp
occ_43_3031_00,43-3031.00,2024,acs_1yr_pums,433031,exact_socp,17390,13547,1271904.000,12835,45000.000,30000.000,60000.000,0.667,0.290,0.833,0.971,0.487,0.780,0.299,0.538,0.714,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=17390|employed_records=13547|wage_record_share=0.947|query_mode=exact_socp
occ_43_4051_00,43-4051.00,2024,acs_1yr_pums,434051,exact_socp,34026,26623,2996661.000,26376,35000.000,20000.000,52000.000,0.914,0.774,0.833,0.981,0.253,0.772,0.693,0.615,0.829,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=34026|employed_records=26623|wage_record_share=0.991|query_mode=exact_socp
occ_43_6011_00,43-6011.00,2024,acs_1yr_pums,436011,exact_socp,3431,2797,264708.000,2767,70000.000,50000.000,90000.000,0.571,0.032,0.788,0.978,0.572,0.789,0.134,0.506,0.647,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=3431|employed_records=2797|wage_record_share=0.989|query_mode=exact_socp
occ_43_6014_00,43-6014.00,2024,acs_1yr_pums,436014,exact_socp,28986,21914,2046160.000,21422,40000.000,25000.000,55000.000,0.750,0.548,0.829,0.964,0.650,0.793,0.147,0.531,0.761,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=28986|employed_records=21914|wage_record_share=0.978|query_mode=exact_socp
occ_43_9061_00,43-9061.00,2024,acs_1yr_pums,439061,exact_socp,18493,13662,1330918.000,13442,35000.000,19000.000,50000.000,0.886,0.710,0.831,0.976,0.639,0.795,0.393,0.616,0.814,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=18493|employed_records=13662|wage_record_share=0.984|query_mode=exact_socp
occ_43_9111_00,43-9111.00,2024,acs_1yr_pums,439111,exact_socp,582,494,51828.000,490,64000.000,45000.000,90000.000,0.703,0.419,0.815,0.974,0.484,0.778,0.967,0.771,0.783,0.854,src_census_acs_2024_1yr_pums_api,acs_api_records=582|employed_records=494|wage_record_share=0.992|query_mode=exact_socp
