"occupation_id","function_id","function_type","function_weight","delegability_guardrail","source_mix","source_confidence","notes"
"occ_23_1011_00","fn_occ_23_1011_00_matter_preparation","supplemental_function_anchor","0.2754","0.7086","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_23_1011_00","fn_occ_23_1011_00_primary","primary_function_anchor","0.7246","0.9412","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_23_2011_00","fn_occ_23_2011_00_primary","primary_function_anchor","0.9500","0.6944","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_27_1024_00","fn_occ_27_1024_00_primary","primary_function_anchor","0.9500","0.4764","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_27_3023_00","fn_occ_27_3023_00_primary","primary_function_anchor","0.7463","0.6782","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_27_3023_00","fn_occ_27_3023_00_source_development","supplemental_function_anchor","0.2537","0.6300","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_27_3031_00","fn_occ_27_3031_00_primary","primary_function_anchor","0.7246","0.5654","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_27_3031_00","fn_occ_27_3031_00_relationship_protection","supplemental_function_anchor","0.2754","0.6382","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_27_3041_00","fn_occ_27_3041_00_primary","primary_function_anchor","0.7353","0.6250","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_27_3041_00","fn_occ_27_3041_00_publication_orchestration","supplemental_function_anchor","0.2647","0.5450","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_27_3042_00","fn_occ_27_3042_00_primary","primary_function_anchor","0.7463","0.5726","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_27_3042_00","fn_occ_27_3042_00_release_enablement","supplemental_function_anchor","0.2537","0.5344","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_27_3043_00","fn_occ_27_3043_00_primary","primary_function_anchor","0.9500","0.4764","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_41_3011_00","fn_occ_41_3011_00_primary","primary_function_anchor","0.9500","0.6088","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_41_3091_00","fn_occ_41_3091_00_account_stewardship","supplemental_function_anchor","0.2754","0.5956","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_function_anchor"
"occ_41_3091_00","fn_occ_41_3091_00_primary","primary_function_anchor","0.7246","0.6444","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_43_3031_00","fn_occ_43_3031_00_primary","primary_function_anchor","0.9500","0.6636","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_43_4051_00","fn_occ_43_4051_00_primary","primary_function_anchor","0.9500","0.5496","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_function_anchor"
"occ_43_6011_00","fn_occ_43_6011_00_primary","primary_function_anchor","0.9500","0.3842","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_43_6014_00","fn_occ_43_6014_00_primary","primary_function_anchor","0.9500","0.3842","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_43_9061_00","fn_occ_43_9061_00_primary","primary_function_anchor","0.9500","0.3842","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
"occ_43_9111_00","fn_occ_43_9111_00_primary","primary_function_anchor","0.9500","0.5826","src_role_function_seed_2026_03","0.7400","reviewed_primary_function_anchor"
