"occupation_id","direct_task_pressure","indirect_dependency_pressure","function_exposure_pressure","retained_function_strength","retained_accountability_strength","retained_bargaining_power","role_fragmentation_risk","role_compressibility","demand_expansion_signal","delegation_likelihood","headcount_displacement_risk","role_transformation_type","confidence","source_mix","notes"
"occ_13_2051_00","0.3408","0.0686","0.2649","0.7089","0.6918","0.6709","0.1654","0.1314","0.5234","0.2949","0.2136","workflow_recomposition","0.6635","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6660|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.5800|calibration=reviewed_calibration|finance_analysis_recomposes_but_tradeoff_judgment_remains"
"occ_15_1211_00","0.3880","0.1811","0.3199","0.6896","0.5852","0.6850","0.2314","0.1792","0.4842","0.3780","0.2726","workflow_recomposition","0.6983","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6030|support_high_pressure=0.0418|routine_high_pressure=0.0418|benchmark_mean=0.5800|calibration=reviewed_calibration|requirements_and_integration_ownership_retained"
"occ_15_1252_00","0.5895","0.2109","0.4433","0.6328","0.5607","0.6139","0.2671","0.1954","0.5907","0.5244","0.3102","workflow_recomposition","0.7038","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6030|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.7000|calibration=reviewed_calibration|software_building_remains_high_exposure_but_core_system_ownership_retained"
"occ_15_1254_00","0.4631","0.1347","0.3517","0.6603","0.5663","0.6467","0.2257","0.1695","0.4979","0.4116","0.2842","workflow_recomposition","0.7469","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6030|support_high_pressure=0.0129|routine_high_pressure=0.0000|benchmark_mean=0.8906|calibration=reviewed_calibration|web_building_high_tooling_pressure_but_platform_ownership_retained"
"occ_15_2031_00","0.3369","0.2089","0.2691","0.7170","0.5894","0.7664","0.2057","0.1343","0.6271","0.3320","0.2377","workflow_recomposition","0.6778","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5910|support_high_pressure=0.0178|routine_high_pressure=0.0000|benchmark_mean=0.7100|calibration=reviewed_calibration|quantitative_modeling_high_exposure_but_decision_interpretation_retained"
"occ_15_2051_00","0.6133","0.2611","0.5141","0.6424","0.5845","0.6422","0.3459","0.2480","0.7002","0.5607","0.3361","augmented_core_role","0.7275","src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6550|support_high_pressure=0.1820|routine_high_pressure=0.0000|benchmark_mean=0.7188|calibration=reviewed_calibration|high_exposure_but_retained_framing_and_model_ownership"
"occ_17_2072_00","0.3533","0.1946","0.2874","0.7443","0.6907","0.7276","0.1892","0.1296","0.5126","0.3580","0.2239","workflow_recomposition","0.6931","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6760|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6600|calibration=reviewed_calibration|electronics_engineering_faces_higher_tooling_pressure_but_retains_system_ownership"
"occ_17_2141_00","0.4125","0.1409","0.3248","0.7307","0.6802","0.7207","0.1957","0.1439","0.5040","0.3692","0.2376","workflow_recomposition","0.6792","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6760|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6200|calibration=reviewed_calibration|mechanical_engineering_recomposes_without_losing_core_design_accountability"
"occ_23_1011_00","0.3621","0.2072","0.3324","0.8371","0.8989","0.8473","0.1567","0.1031","0.4979","0.2990","0.2021","limited_near_term_change","0.6800","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.9420|support_high_pressure=0.0105|routine_high_pressure=0.0000|benchmark_mean=0.4573|calibration=reviewed_calibration|legal_function_and_authority_guardrail"
"occ_23_2011_00","0.3509","0.1140","0.2973","0.6804","0.7012","0.6575","0.1710","0.1281","0.3956","0.3114","0.2613","workflow_recomposition","0.6457","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6940|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.4000|calibration=reviewed_calibration|legal_support_work_recomposes_more_than_attorney_work"
"occ_27_1024_00","0.4543","0.1475","0.3400","0.5738","0.4872","0.5825","0.2471","0.1930","0.5128","0.4001","0.3294","workflow_recomposition","0.7068","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.4840|support_high_pressure=0.0329|routine_high_pressure=0.0329|benchmark_mean=0.6600|calibration=reviewed_calibration|design_execution_faces_stronger_generation_pressure_but_brand_direction_remains_human"
"occ_27_3023_00","0.4417","0.1980","0.3174","0.6831","0.6475","0.6667","0.2058","0.1455","0.4304","0.3756","0.3024","workflow_recomposition","0.7496","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6870|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.7344|calibration=reviewed_calibration|journalism_faces_heavier_generation_pressure_but_reporting_judgment_remains"
"occ_27_3031_00","0.4277","0.1413","0.3353","0.6431","0.6145","0.6530","0.2137","0.1573","0.5075","0.3891","0.2756","workflow_recomposition","0.7213","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5690|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6000|calibration=reviewed_calibration|public_relations_retains_reputation_and_relationship_coordination_despite_tooling_pressure"
"occ_27_3041_00","0.4317","0.1567","0.3153","0.6810","0.6153","0.6929","0.2058","0.1484","0.5033","0.3737","0.2826","workflow_recomposition","0.7302","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6350|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6600|calibration=reviewed_calibration|editing_faces_heavy_recomposition_but_still_retains_gatekeeping_and_quality_control"
"occ_27_3042_00","0.3895","0.0686","0.2990","0.6509","0.5763","0.6357","0.1948","0.1536","0.4438","0.3587","0.2669","workflow_recomposition","0.7235","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5810|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6250|calibration=reviewed_calibration|benchmark_exposure_requires_more_recomposition_pressure"
"occ_27_3043_00","0.4383","0.1317","0.3207","0.5760","0.4926","0.5911","0.2257","0.1661","0.6553","0.3897","0.3086","workflow_recomposition","0.7121","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.4840|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.7000|calibration=reviewed_calibration|writing_work_faces_stronger_generation_pressure_and_heavier_recomposition"
"occ_41_3011_00","0.4098","0.1530","0.3376","0.6787","0.6039","0.7260","0.2124","0.1533","0.4427","0.3504","0.2668","workflow_recomposition","0.7004","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6180|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.4800|calibration=reviewed_calibration|client_relationship_and_revenue_ownership_remain_core"
"occ_41_3091_00","0.3122","0.1311","0.2640","0.7319","0.6585","0.7769","0.1907","0.1369","0.4475","0.2832","0.2201","limited_near_term_change","0.6480","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6540|support_high_pressure=0.0377|routine_high_pressure=0.0000|benchmark_mean=0.5200|calibration=reviewed_calibration|relationship_and_commitment_work_remain_core"
"occ_43_3031_00","0.4711","0.0815","0.3207","0.6281","0.6162","0.5994","0.1948","0.2530","0.3387","0.3604","0.3449","workflow_recomposition","0.6639","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6660|support_high_pressure=0.0103|routine_high_pressure=0.2877|benchmark_mean=0.5800|calibration=reviewed_calibration|structured_finance_support_is_more_compressible_than_first_pass_output"
"occ_43_4051_00","0.4456","0.2520","0.3609","0.6042","0.5485","0.6541","0.2436","0.1608","0.3784","0.3780","0.3478","workflow_recomposition","0.7254","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5560|support_high_pressure=0.0109|routine_high_pressure=0.0000|benchmark_mean=0.5500|calibration=reviewed_calibration|support_work_is_more_compressible_but_not_fully_removed"
"occ_43_6011_00","0.4247","0.2893","0.3528","0.5624","0.4752","0.6104","0.2781","0.1868","0.3564","0.3861","0.3319","workflow_recomposition","0.6816","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.3870|support_high_pressure=0.0120|routine_high_pressure=0.0120|benchmark_mean=0.6200|calibration=reviewed_calibration|executive_assistant_work_retains_more_context_and_trust_than_generic_admin"
"occ_43_6014_00","0.4164","0.1376","0.3043","0.5131","0.4388","0.5229","0.2531","0.2423","0.2837","0.3732","0.3810","workflow_recomposition","0.6800","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.3870|support_high_pressure=0.0393|routine_high_pressure=0.1608|benchmark_mean=0.5700|calibration=reviewed_calibration|general_admin_support_retains_some_coordination_but_faces_heavier_compression"
"occ_43_9061_00","0.4374","0.1933","0.3405","0.4923","0.4087","0.5149","0.2730","0.2427","0.2585","0.4061","0.4081","workflow_recomposition","0.6765","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.3870|support_high_pressure=0.0530|routine_high_pressure=0.1457|benchmark_mean=0.5600|calibration=reviewed_calibration|general_clerical_bundle_is_highly_compressible"
"occ_43_9111_00","0.4720","0.1741","0.3727","0.5950","0.5204","0.6195","0.2316","0.1662","0.4631","0.4176","0.3448","workflow_recomposition","0.6927","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5910|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6881|calibration=reviewed_calibration|statistical_assistant_work_is_more_compressible_than_analyst_roles"
